ID#Token#No. of document#Count#POS
222# для #6#1#PREP
223# система #6#1#NOUN
224# nikon #6#1#LATN
226# байонет #6#1#NOUN
227# f #6#1#LATN
228# и #6#2#CONJ
229# матрица #6#1#NOUN
230# apsc #6#1#LATN
231# привод #6#1#NOUN
232# автофокусировка #6#1#NOUN
233# ультразвуковой #6#1#ADJF
234# также #6#1#PRCL
235# оснащение #6#1#NOUN
236# включать #6#1#INFN
237# стабилизатор #6#1#NOUN
238# изображение #6#1#NOUN
240# лепестковый #6#1#ADJF
241# диафрагма #6#1#NOUN
244# значение #6#1#NOUN
245# фиксобъектив #7#1#NOUN
246# студийнопортретный #7#1#ADJF
247# направленность #7#1#NOUN
248# canon #7#2#LATN
249# ef #7#1#LATN
250# mm #7#1#ROMN
251# иметь #7#2#INFN
252# фокусный #7#1#ADJF
253# расстояние #7#1#NOUN
254# мм #7#1#INTJ
255# рассчитать #7#1#INFN
256# на #7#1#PREP
257# использование #7#1#NOUN
258# с #7#3#PREP
259# система #7#1#NOUN
262# матрица #7#1#NOUN
263# full #7#1#LATN
264# frame #7#1#LATN
265# светочувствительность #7#1#NOUN
266# диафрагма #7#1#NOUN
268# минимальный #7#1#ADJF
269# значение #7#1#NOUN
271# лепесток #7#1#NOUN
272# привод #7#1#NOUN
273# автофокус #7#1#NOUN
274# ультразвуковой #7#1#ADJF
275# универсальный #8#1#ADJF
276# объектив #8#1#NOUN
277# под #8#1#PREP
278# система #8#2#NOUN
279# nikon #8#3#LATN
280# главный #8#1#ADJF
281# особенность #8#1#NOUN
282# который #8#1#ADJF
283# являться #8#1#INFN
284# неизменный #8#1#ADJF
285# светосила #8#1#NOUN
286# f #8#2#LATN
287# на #8#2#PREP
288# весь #8#1#ADJF
289# диапазон #8#1#NOUN
290# фокусный #8#1#ADJF
291# расстояние #8#1#NOUN
292# в #8#1#PREP
293# мм #8#1#INTJ
294# рассчитать #8#1#INFN
298# с #8#2#PREP
299# матрица #8#1#NOUN
300# full #8#1#LATN
301# frame #8#1#LATN
302# и #8#1#CONJ
303# байонет #8#1#NOUN
306# диафрагма #8#1#NOUN
307# лепестковый #8#1#ADJF
309# минимальный #8#1#ADJF
310# значение #8#1#NOUN
311# привод #8#1#NOUN
312# автофокус #8#1#NOUN
313# обеспечиваться #8#1#INFN
314# ультразвуковой #8#1#ADJF
315# мотор #8#1#NOUN
316# в #9#1#PREP
317# класс #9#1#NOUN
318# фикс #9#1#NOUN
319# объектив #9#1#NOUN
320# canon #9#2#LATN
321# ef #9#1#LATN
322# mm #9#1#ROMN
323# выделяться #9#1#INFN
324# хороший #9#1#ADJF
325# значение #9#2#NOUN
326# светосила #9#1#NOUN
327# его #9#1#NPRO
328# диафрагма #9#1#NOUN
329# оснащать #9#1#INFN
330# лепесток #9#1#NOUN
331# а #9#1#CONJ
332# минимальный #9#1#ADJF
333# ее #9#1#NPRO
335# составлять #9#1#INFN
336# рассчитать #9#1#INFN
337# под #9#1#PREP
338# система #9#1#NOUN
340# и #9#1#CONJ
341# матрица #9#1#NOUN
342# full #9#1#LATN
343# frame #9#1#LATN
344# фокусировка #9#1#NOUN
345# обеспечиваться #9#1#INFN
346# ультразвуковой #9#1#ADJF
347# мотор #9#1#NOUN
348# canon #10#2#LATN
349# ef #10#1#LATN
350# mm #10#1#ROMN
351# фиксобъектив #10#1#NOUN
352# под #10#1#PREP
353# матрица #10#1#NOUN
354# full #10#1#LATN
355# frame #10#1#LATN
356# на #10#1#PREP
357# система #10#1#NOUN
359# с #10#2#PREP
360# классический #10#1#ADJF
361# фокусный #10#1#ADJF
362# расстояние #10#1#NOUN
363# мм #10#1#INTJ
364# светосила #10#1#NOUN
365# минимальный #10#1#ADJF
366# значение #10#1#NOUN
367# диафрагма #10#1#NOUN
368# составлять #10#1#INFN
369# правда #10#1#PRCL
370# все #10#1#PRCL
372# лепесток #10#1#NOUN
373# универсальный #11#1#ADJF
374# объектив #11#1#NOUN
375# под #11#1#PREP
376# система #11#1#NOUN
377# canon #11#1#LATN
378# с #11#2#PREP
379# матрица #11#1#NOUN
380# apsc #11#1#LATN
381# по #11#1#PREP
382# диапазон #11#2#NOUN
383# фокусный #11#1#ADJF
384# расстояние #11#1#NOUN
385# мм #11#1#INTJ
386# лишь #11#1#PRCL
387# слегка #11#1#ADVB
388# выходить #11#1#INFN
389# за #11#1#PREP
390# рамка #11#1#NOUN
391# широкоугольный #11#1#ADJF
393# фиксированный #11#1#PRTF
394# светосила #11#1#NOUN
395# на #11#1#PREP
396# весь #11#1#ADJF
398# оснащать #11#1#INFN
399# трехступенчатый #11#1#ADJF
400# стабилизатор #11#1#NOUN
401# изображение #11#1#NOUN
402# и #11#1#CONJ
403# ультразвуковой #11#1#ADJF
404# привод #11#1#NOUN
405# автофокусировка #11#1#NOUN
406# телеобъектив #12#1#NOUN
407# с #12#2#PREP
408# довольно #12#1#ADVB
409# специфический #12#1#ADJF
410# набор #12#1#NOUN
411# характеристика #12#1#NOUN
412# при #12#1#PREP
413# фиксированный #12#1#PRTF
414# фокусный #12#1#ADJF
415# расстояние #12#1#NOUN
416# мм #12#1#INTJ
417# он #12#1#NPRO
418# иметь #12#1#INFN
419# светосила #12#1#NOUN
420# и #12#2#CONJ
421# заявлять #12#1#INFN
422# производитель #12#1#NOUN
423# как #12#1#CONJ
424# самый #12#1#ADJF
425# легкий #12#1#ADJF
426# в #12#3#PREP
427# свой #12#1#ADJF
428# класс #12#1#NOUN
430# хорошо #12#1#ADVB
431# подходить #12#1#INFN
433# частность #12#1#NOUN
434# для #12#1#PREP
435# съемка #12#1#NOUN
436# спортивный #12#1#ADJF
437# мероприятие #12#1#NOUN
439# помещение #12#1#NOUN
440# рассчитать #12#1#INFN
441# под #12#1#PREP
442# система #12#1#NOUN
443# canon #12#1#LATN
445# матрица #12#1#NOUN
446# full #12#1#LATN
447# frame #12#1#LATN
448# минимальный #12#1#ADJF
449# значение #12#1#NOUN
450# диафрагма #12#1#NOUN
451# составлять #12#1#INFN
452# автофокус #12#1#NOUN
453# обеспечиваться #12#1#INFN
454# ультразвуковой #12#1#ADJF
455# привод #12#1#NOUN
456# в #13#2#PREP
457# класс #13#1#NOUN
458# фикс #13#1#NOUN
459# nikon #13#2#LATN
460# mm #13#1#ROMN
461# можно #13#1#PRED
462# относить #13#1#INFN
463# к #13#1#PREP
464# широкоугольный #13#1#ADJF
465# его #13#1#NPRO
466# фокусный #13#1#ADJF
467# расстояние #13#1#NOUN
468# составлять #13#1#INFN
469# мм #13#1#INTJ
470# светосила #13#1#NOUN
471# рассчитать #13#1#INFN
472# на #13#1#PREP
473# использование #13#1#NOUN
475# система #13#1#NOUN
477# с #13#1#PREP
478# матрица #13#1#NOUN
479# apsc #13#1#LATN
480# автофокусировка #13#1#NOUN
481# обеспечиваться #13#1#INFN
482# ультразвуковой #13#1#ADJF
483# привод #13#1#NOUN
484# вариообъектив #14#1#NOUN
485# sigma #14#2#LATN
486# af #14#1#LATN
487# mm #14#1#ROMN
488# предназначать #14#1#INFN
489# прежде #14#1#PREP
490# все #14#1#PRCL
491# для #14#1#PREP
492# тот #14#1#ADJF
493# кто #14#1#NPRO
494# нужный #14#1#ADJF
495# угол #14#1#NOUN
496# съемка #14#1#NOUN
497# от #14#1#PREP
498# широкий #14#1#ADJF
499# до #14#1#PREP
500# средний #14#1#ADJF
501# диапазон #14#1#NOUN
502# его #14#1#NPRO
503# фокусный #14#1#ADJF
504# расстояние #14#1#NOUN
505# составлять #14#1#INFN
506# мм #14#1#INTJ
507# рассчитать #14#1#INFN
508# на #14#1#PREP
509# матрица #14#1#NOUN
510# apc #14#1#LATN
511# и #14#3#CONJ
512# мочь #14#1#NOUN
513# применяться #14#1#INFN
514# с #14#1#PREP
515# система #14#1#NOUN
516# canon #14#1#LATN
517# nikon #14#1#LATN
518# pentax #14#1#LATN
521# sony #14#1#LATN
522# особенность #14#1#NOUN
523# конструкция #14#1#NOUN
524# включать #14#1#INFN
525# стабилизатор #14#1#NOUN
526# изображение #14#1#NOUN
528# ультразвуковой #14#1#ADJF
529# привод #14#1#NOUN
530# автофокусировка #14#1#NOUN
