term; 1; 2; 3; 4; 5 ;6 ;7 ;8 ;9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25 ;26 ;27 ;28 ;29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40
 свой ;0.027777777777777776;0.028778569499105854;0;0.028499120178248342;0;0;0;0.029029119456263203;0.05335675617501881;0;0.023453574875866152;0;0.05789885313887354;0.02463649981494537;0.025907959882293094;0;0;0;0;0;0;0;0;0.029104413684228614;0.04543767194233219;0;0;0.019633489917219284;0.027010832237149247;0;0;0;0;0.012691125091736874;0.016830209418316932;0.06582560334429559;0.023644061846016157;0;0;0.021215942958857523
 кирилл ;0.08569340279780989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 смотреть ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0727610497861393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 классификация ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022267937784916064;0.03185355065738003;0;0;0;0;0
 состояние ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039322465081457245;0;0;0;0;0;0.022267937784916064;0;0;0;0;0;0
 венгрия ;0;0;0;0;0;0;0;0.09970581439596342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 иной ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10099967232978573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 энергоэффективный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.042189861864875694;0
 континентальный ;0.05791562502003211;0;0;0;0;0;0;0;0;0;0;0;0.06511484326014198;0;0.05028913967377975;0.0703381217842113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 это ;0;0;0;0.04809034444280484;0;0.023133268204776423;0;0;0;0;0.10445784706981816;0;0;0.04354019532899995;0.022655076543023605;0.02393375162124343;0.023941635626662384;0;0.03680759100248718;0.04236243497503907;0;0.023010545287398366;0;0.02411292028431508;0.013992477829934161;0.019388029469729878;0;0;0.0700385745394863;0;0.03600441936126336;0.045164921726497276;0.016700919233042323;0.023632965487431542;0.030916280285022635;0;0.08414357649415527;0.021548154802921105;0;0.019133161540188563
 пятница ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21614794168163012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 полуфинал ;0;0;0;0;0;0;0.0799063921030141;0;0;0;0;0;0;0;0;0;0;0;0.08262787734205403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 просто ;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05602189586882965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.054811920366741276;0;0
 краснодар ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.18628030251679614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 методический ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06351827533028503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 гибридный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04106939802341007;0;0;0;0;0;0;0
 тенденция ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028463542542503793;0;0;0;0;0;0;0;0;0.026860693243001065;0;0;0;0;0;0;0;0;0;0.03981279548203131
 аварийность ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06121095375090186;0;0;0
 ольга ;0;0;0;0;0;0;0;0;0.0775311220075376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 цент ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0644273049821259;0;0
 интернет ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02283039774371832;0;0;0;0.06172337010230877;0;0;0;0;0.021636794006520514;0;0.12281660580906902;0;0.01680765101132814;0.02328788751966626;0;0;0.03743350765464892;0;0
 устройство ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04566079548743664;0.04267812500858519;0;0;0.02057445670076959;0;0;0;0;0.04327358801304103;0;0.12281660580906902;0;0;0.09315155007866505;0;0;0;0;0.09305581620142238
 соблюдать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 громкий ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03659288715027102;0;0;0;0;0
 продолжать ;0;0;0;0.07726719712351468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04131393867102701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 планировать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04755249379867679;0;0;0.045174377938993586;0;0;0;0.045174377938993586;0;0;0;0;0;0;0;0;0;0;0;0;0
 угарный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04106939802341007;0;0;0;0;0;0;0
 прочитывать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.033634037263176944;0;0;0;0;0;0;0;0;0;0
 волнительный ;0;0;0.12407799133266585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 польза ;0;0;0;0;0;0;0.0799063921030141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04501344886704319;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 недавно ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.042189861864875694;0
 служить ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 территория ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028463542542503793;0;0;0;0;0;0;0;0;0.026860693243001065;0;0.05452100661787243;0;0;0;0;0;0;0;0
 журналист ;0;0;0;0;0;0;0;0;0.08659017274537756;0.05259700125982704;0;0;0;0.03812729268014051;0;0.055105010047275374;0;0;0;0;0.02283039774371832;0;0;0;0;0.031625634629579465;0;0;0;0.021636794006520514;0;0;0;0;0;0;0;0;0;0
 лайков ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30299901698935716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 поэтому ;0;0;0.10135071860539312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039322465081457245;0;0;0;0;0;0;0;0;0;0;0;0
 промежуток ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 отходить ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07609901693784238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 сезон ;0;0;0;0.04946173678416694;0;0;0;0;0;0.05259700125982704;0;0;0.05165892789251524;0.07625458536028101;0;0;0.04823688116459905;0.04633520050441661;0.08803410232981738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 шанс ;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06592288596783955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 замена ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24837373668906151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 мотив ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02528908582116984;0;0;0;0;0;0
 интерес ;0;0;0;0;0;0;0;0;0;0;0;0.06313142735714153;0;0.046120905769819746;0;0;0;0;0;0;0;0;0.04162704888532825;0;0;0;0.04162704888532825;0;0;0;0;0;0;0;0;0;0;0;0;0
 rights ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02528908582116984;0;0;0;0;0;0
 несколько ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061020589959218614;0;0;0.03185355065738003;0;0;0;0;0
 приходить ;0;0;0;0;0;0;0;0;0;0;0.10301201703389713;0;0;0;0;0;0;0;0.04131393867102701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 палитрумлаб ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020500679474580247;0.029081216530739473;0.04182619471005614;0;0;0;0
 инструмент ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 словацкий ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08952151237132852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 мечтать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0727610497861393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 офф ;0.049791145843349385;0.05434248080105999;0;0;0;0;0;0;0;0;0;0;0;0;0.04371652730612631;0.05930109346871779;0.05150735794895858;0.049381672029573435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 руководство ;0;0;0;0;0;0;0;0;0;0;0;0.0790044432301574;0;0;0;0;0;0;0;0;0;0;0;0.08375829301944089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 голосовой ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028463542542503793;0.171691247216343;0;0;0;0;0;0;0;0.026860693243001065;0;0;0;0;0;0;0;0;0;0
 мобильный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2885268042813189;0;0;0;0;0;0;0;0
 кататься ;0;0;0;0.09265181250813007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 отдавать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0479364552273184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ведомство ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12703655066057007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 меняться ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03175913766514252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 rabota ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03175913766514252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 утверждать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04622646043150065;0;0;0;0;0;0;0;0;0
 воздух ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05692708508500759;0;0;0;0;0;0;0;0;0.05372138648600213;0;0;0.03240840075170976;0;0;0;0;0;0;0
 опасность ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0524208562744506;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 жесткий ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 миллионный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022267937784916064;0.03185355065738003;0;0;0;0;0
 ракетка ;0;0;0;0;0;0;0.19207084872215724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 морской ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04106939802341007;0;0;0;0;0;0;0
 информационный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.036627369391985035;0;0.04292096456756666;0.03327298589873833;0.036627369391985035;0;0;0;0;0;0;0.03495906287665294;0.024341880037848478;0;0;0;0;0
 надежность ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 устанавливать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08213879604682015;0;0;0;0;0;0;0
 фигурный ;0;0;0;0.07726719712351468;0;0;0;0;0.0653360000563181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 повестка ;0;0;0;0;0;0;0;0;0;0;0;0;0.19689635318695062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 объективный ;0;0;0;0;0;0;0;0;0.0653360000563181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039322465081457245;0;0;0;0;0;0;0;0;0;0;0;0
 травма ;0;0;0;0;0;0;0;0;0;0.07367273266217958;0;0;0;0;0;0;0;0;0.03744001482519154;0.04755249379867679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 марка ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045533645205680845;0;0;0;0;0;0;0;0;0;0;0;0
 asus ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2560770170044427
 взаимодействие ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.057230415738780994;0.045174377938993586;0;0;0;0.045174377938993586;0;0;0;0;0;0;0;0;0;0;0;0;0
 распродавать ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0644273049821259;0;0
 двойной ;0;0;0;0;0;0;0.19207084872215724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 столичный ;0.071804513908921;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061525094729959526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 самостоятельно ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0524208562744506;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 гарантированный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07979469301490004;0;0;0;0;0;0;0;0;0;0;0
 голомолзин ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06351827533028503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 машина ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026550927338453822;0;0;0;0;0.03760604145963579;0;0;0;0.0250870287161684;0.03356823258339939;0;0;0;0;0;0;0;0;0
 финансовый ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0501740574323368;0;0;0;0.0501740574323368;0;0;0;0;0;0;0;0;0;0;0;0;0
 длинный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07609901693784238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 новак ;0;0;0;0;0;0;0.19207084872215724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 регулярный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05602189586882965;0;0;0;0.07109348710794544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 поделиться ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0727610497861393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ровный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06209343417226538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 business ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02528908582116984;0;0;0;0;0;0
 функционер ;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06592288596783955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 отношение ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03175913766514252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 text ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02528908582116984;0;0;0;0;0;0
 май ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06621324030189975;0;0.07488002965038308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04918728093673015;0;0
 процесс ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06419425503308047;0;0;0;0;0;0.039322465081457245;0;0;0;0;0;0;0;0;0;0;0;0
 сборная ;0;0;0;0;0;0;0;0.21852612959189927;0;0;0.046329349218531254;0;0;0;0;0;0.19863972090569926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 странный ;0;0;0;0;0;0;0;0;0;0.10099967232978573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 объяснять ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12418686834453076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 скоринговый ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0501740574323368;0;0;0;0.0501740574323368;0;0;0;0;0;0;0;0;0;0;0;0;0
 мл ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03659288715027102;0;0;0;0;0
 производить ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0311592222693294;0;0;0;0;0;0;0;0;0.029360532989672672;0;0;0;0;0;0;0;0;0;0
 неожиданно ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12656958559462708;0
 написать ;0;0;0;0;0;0;0;0;0.0653360000563181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08375829301944089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 апрель ;0;0.10151101252675068;0.06027447037681121;0;0.12309345241529314;0.05904797899998715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06945315893206497;0;0.02057445670076959;0;0.06945315893206497;0;0;0;0;0;0;0;0;0;0;0;0;0
 титул ;0;0;0;0;0.12838851006616095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 лаборатория ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0623184445386588;0;0;0;0;0;0;0;0;0.058721065979345344;0;0;0;0;0;0;0;0;0;0
 оригинальный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0644273049821259;0;0
 активный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0524208562744506;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 характеристика ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.054478237318697505;0;0;0;0;0.01924678974866229;0;0;0;0.04519653575135666;0.06178085367325421;0
 согласно ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07213170107032972;0;0;0;0;0;0;0;0
 летательный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12320819407023022;0;0;0;0;0;0;0
 сигнальный ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022267937784916064;0.03185355065738003;0;0;0;0;0
 очаг ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.041001358949160495;0.058162433061478946;0.04182619471005614;0;0;0;0
 занимать ;0;0;0;0;0;0;0;0.1042470551628555;0;0;0;0;0.05165892789251524;0;0;0;0.04823688116459905;0.04633520050441661;0;0;0.02283039774371832;0;0;0;0;0.031625634629579465;0;0;0;0.021636794006520514;0;0;0;0;0;0;0;0;0;0
 чемпионка ;0;0;0;0.09265181250813007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
